Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
24,0.8181602842479273,,
24,0.9448874851954204,,
12,0.849506514015002,15.0,0.6951440979076194
24,0.9891827872088432,,
9,0.9320173707066719,12.0,0.6888274772996447
24,0.9440979076194236,,
24,0.9624161073825503,,
24,0.8611133043821555,,
9,0.949230161863403,12.0,0.7898144492696407
15,0.815238847216739,18.0,0.7495459928938019
21,0.8135807343071457,24.0,0.7879984208448481
21,0.8037110146071852,24.0,0.744492696407422
21,0.8104224240031583,24.0,0.7691275167785235
18,0.8262929332806949,21.0,0.773233320173707
6,0.9939202526648243,9.0,0.7409395973154362
18,0.8218712988551126,21.0,0.7615475720489538
21,0.8134228187919463,24.0,0.7715752072641137
24,0.9702329253849191,,
18,0.8289774970390841,21.0,0.7583103039873668
24,0.9414133438610344,,
12,0.8026845637583893,15.0,0.6943545203316226
24,0.9595736281089617,,
24,0.9135412554283459,,
9,0.8772206869324911,12.0,0.6476115278326096
24,0.8546387682589814,,
12,0.8996446900908014,15.0,0.7726806158705093
21,0.8307935254638769,24.0,0.7685748124753257
24,0.8818002368732728,,
24,0.975523095144098,,
12,0.8712988551125148,15.0,0.7610738255033557
24,0.8874062376628504,,
12,0.8296881168574812,15.0,0.7239636794315042
18,0.8408211606790367,21.0,0.7776549545992893
24,0.9463876825898144,,
18,0.8387682589814449,21.0,0.7737070667193052
24,0.9580734307145677,,
24,0.9674694038689301,,
15,0.8114488748519542,18.0,0.7361231741018555
24,0.8456375838926175,,
9,0.955230951440979,12.0,0.7764705882352941
24,0.8067903671535729,,
9,0.9644690090801421,12.0,0.7632846427161468
24,0.9193841294907225,,
24,0.9324911172522701,,
24,0.9673904461113304,,
21,0.8011054086063956,24.0,0.7645479668377418
24,0.8445321752862218,,
24,0.9498618239242006,,
21,0.8371891038294512,24.0,0.793999210422424
24,0.8893012238452428,,
24,0.8328464271614686,,
15,0.8225819186735097,18.0,0.7557046979865771
24,0.8700355309909199,,
15,0.8215554678247138,18.0,0.7545992893801816
15,0.8194236083695223,18.0,0.7604421634425582
24,0.888511646269246,,
24,0.8848795894196605,,
24,0.9523095144097907,,
21,0.8346624555862614,24.0,0.782234504540071
9,0.8899328859060402,12.0,0.7949467035136202
18,0.8097118041847612,21.0,0.7646269245953415
12,0.9251480457954994,15.0,0.785234899328859
24,0.8112120015791552,,
24,0.8591393604421634,,
24,0.9791551519936834,,
12,0.8123963679431504,15.0,0.7654165021713384
24,0.8566127121989735,,
24,0.9384129490722464,,
24,0.9044611133043822,,
24,0.8339518357678642,,
18,0.8303197789182787,21.0,0.7981839715752073
15,0.8034741413343861,18.0,0.6916699565732333
24,0.9118831425187525,,
9,0.9060402684563759,12.0,0.7243584682195026
24,0.9524674299249901,,
15,0.8118436636399526,18.0,0.7422818791946308
24,0.8304776944334781,,
15,0.8339518357678642,18.0,0.7695223055665219
24,0.8597710225029609,,
24,0.8596131069877615,,
24,0.9646269245953415,,
24,0.8384524279510462,,
24,0.8021318594551915,,
15,0.8514015001973944,18.0,0.7829451243584682
24,0.9429135412554284,,
24,0.8744571654165022,,
9,0.9193841294907225,12.0,0.7033557046979866
21,0.8303987366758784,24.0,0.7902881958152388
15,0.807264113699171,18.0,0.735491512041058
15,0.8638768258981445,18.0,0.782234504540071
15,0.8100276352151599,18.0,0.724753257007501
12,0.8480852743782077,15.0,0.7027240426371891
24,0.9536517962889854,,
24,0.9317015396762732,,
24,0.852980655349388,,
15,0.8209238057639163,18.0,0.7398341887090407
18,0.8281089617054875,21.0,0.730754046585077
12,0.8417686537702329,15.0,0.6794315041452823
24,0.8204500592183182,,
24,0.8617449664429531,,
