Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
9,0.9154518950437318,12.0,0.7182255141438815
21,0.8071073989441336,24.0,0.7893782995823813
24,0.8038767630604365,,
24,0.9043416594437003,,
15,0.8097864628476873,18.0,0.7614845165865574
9,0.8887400520053581,12.0,0.7317784256559767
24,0.846584193522969,,
12,0.8900007879599716,15.0,0.7623512725553542
12,0.8755811204790797,15.0,0.7809471278859034
24,0.8180600425498384,,
15,0.8626585769442913,18.0,0.7582538807028603
21,0.8188480025214719,24.0,0.7804743519029234
24,0.841541249704515,,
24,0.8416988416988417,,
9,0.8737688125443227,12.0,0.7409187613269246
15,0.8492632574265228,18.0,0.7792924119454732
24,0.8426443936648018,,
24,0.9125364431486881,,
18,0.8198723504845954,21.0,0.7719643842092822
24,0.8775510204081632,,
15,0.8468993775116224,18.0,0.7591206366716571
15,0.8156961626349382,18.0,0.765739500433378
24,0.82940666614136,,
12,0.8289338901583799,15.0,0.7421794972815381
24,0.9275864786068868,,
12,0.8320857300449137,15.0,0.7815774958632101
15,0.8324797100307304,18.0,0.7747222441099992
18,0.8402017177527381,21.0,0.7827594358206603
24,0.8673863367740918,,
24,0.8542274052478134,,
24,0.8732960365613427,,
9,0.8918918918918919,12.0,0.7997793712079426
24,0.8784177763769601,,
24,0.9674572531715389,,
9,0.9260105586636199,12.0,0.787959971633441
12,0.843826333622252,15.0,0.7242140099282957
24,0.8552517532109369,,
12,0.8042707430462532,15.0,0.7582538807028603
12,0.8018280671341896,15.0,0.7363485934914507
24,0.8283035221810732,,
18,0.8224726183909857,21.0,0.7626664565440076
21,0.819320778504452,24.0,0.7957607753526121
18,0.8061618469781735,21.0,0.7529745488929163
18,0.8065558269639902,21.0,0.7689701363170751
24,0.8656528248364983,,
9,0.8385470018123079,12.0,0.697265778898432
12,0.8468993775116224,15.0,0.7641635804901111
24,0.8342920179654874,,
21,0.817272082578205,24.0,0.7746434481128359
18,0.8207391064533922,21.0,0.7834685997951304
24,0.834213221968324,,
6,0.9480734378693563,9.0,0.7624300685525175
24,0.8636829249074147,,
15,0.850917973366953,18.0,0.7537625088645497
24,0.946655109920416,,
24,0.8788905523599401,,
24,0.8851942321330076,,
12,0.8621070049641478,15.0,0.7833898037979671
21,0.8370498778662044,24.0,0.7963911433299189
15,0.8234969663541092,18.0,0.7643999684816012
12,0.8119927507682609,15.0,0.7159404302261445
12,0.8443779056023955,15.0,0.748561973051769
24,0.8941769758096288,,
24,0.8219998424080057,,
18,0.8186116145299819,21.0,0.7809471278859034
18,0.8239697423370893,21.0,0.7949728153809786
24,0.8844850681585376,,
24,0.9066267433614372,,
21,0.8057678669923568,24.0,0.7627452525411709
15,0.8204239224647388,18.0,0.7610905366007407
6,0.9630446773303916,9.0,0.7146008982743677
24,0.9338901583799543,,
15,0.8636041289102514,18.0,0.7840989677724371
6,0.9629658813332282,9.0,0.7788984319596565
24,0.8916555039004018,,
24,0.9410605941218186,,
15,0.8004097391852494,18.0,0.7228744779765188
24,0.8350011819399574,,
12,0.8416200457016784,15.0,0.7466708691198487
12,0.8554881412024269,15.0,0.7556536127964699
15,0.8033251910802931,18.0,0.7008903947679458
24,0.9348357103459144,,
24,0.8709321566464424,,
15,0.8257032542746828,18.0,0.7598298006461272
24,0.8522575053187298,,
12,0.8406744937357182,15.0,0.746276889134032
24,0.8472145615002757,,
9,0.9327870144196675,12.0,0.7504530769836892
24,0.8555669371995903,,
9,0.9068631313529273,12.0,0.7249231739027657
15,0.8572216531400205,18.0,0.7836261917894571
24,0.892364667874872,,
12,0.8109684028051375,15.0,0.7202742100701285
24,0.826648806240643,,
21,0.8138050587030179,24.0,0.785438499724214
9,0.9060751713812938,12.0,0.7047513986289496
24,0.8159325506264282,,
24,0.8734536285556693,,
24,0.8098652588448507,,
15,0.8276731542037664,18.0,0.7807895358915767
