Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
15,0.8215900682397435,18.0,0.7666694072186139
12,0.8141905779824057,15.0,0.7486639809257585
12,0.8442818383622461,15.0,0.7835238016936611
18,0.8112307818794705,21.0,0.7630518786483598
12,0.8693578886787799,15.0,0.7730000822165584
9,0.8429663734276083,12.0,0.7796596234481624
9,0.878401710104415,12.0,0.7958562854558908
9,0.8608895831620489,12.0,0.6736002630929869
24,0.896078270163611,,
9,0.8806215571816164,12.0,0.7040203897064868
21,0.8179725396694895,24.0,0.7989805146756557
6,0.9782126120200608,9.0,0.7890323111074571
9,0.8126284633725233,12.0,0.704595905615391
15,0.8375400805722273,18.0,0.7662583244265395
15,0.8306338896653787,18.0,0.7912521581846584
9,0.9147414289237853,12.0,0.7974184000657732
9,0.878401710104415,12.0,0.779330757214503
24,0.8806215571816164,,
9,0.8284962591465921,12.0,0.7457864013812382
15,0.807942119542876,18.0,0.7595987831949355
15,0.812135164022034,18.0,0.7424977390446436
6,0.9114527665871907,9.0,0.623694812135164
15,0.8072021705171422,18.0,0.7771931266957165
12,0.812710679930938,15.0,0.759269916961276
12,0.82068568609718,15.0,0.7522815094960125
12,0.8453506536216394,15.0,0.7974184000657732
15,0.8641782454986434,18.0,0.7947052536380828
9,0.9167968428841569,12.0,0.7984049987667516
15,0.8144372276576503,18.0,0.7680670887116665
6,0.9204965880128257,9.0,0.6640631423168626
12,0.8199457370714461,15.0,0.7474307325495355
9,0.8205212529803503,12.0,0.6695716517306586
9,0.8355668831702705,12.0,0.7420044396941544
9,0.854065608813615,12.0,0.7663405409849544
15,0.8183014059031489,18.0,0.7907588588341692
9,0.825536463043657,12.0,0.7175861218449395
12,0.8112307818794705,15.0,0.7462797007317273
15,0.8462550357642029,18.0,0.7973361835073584
12,0.8330181698594097,15.0,0.7721779166324098
18,0.8141905779824057,21.0,0.7840171010441503
9,0.8983803337992272,12.0,0.7537614075474801
12,0.8463372523226178,15.0,0.791498807859903
9,0.8408287429088218,12.0,0.7389624270328045
15,0.809093151360684,18.0,0.758036668585053
9,0.8715777357559813,12.0,0.7867302474718408
15,0.8295650744059854,18.0,0.7688892542958152
12,0.8478993669325002,15.0,0.7849214831867138
6,0.9643180136479487,9.0,0.748335114692099
24,0.8500369974512867,,
9,0.8397599276494286,12.0,0.7802351393570666
21,0.8183014059031489,24.0,0.7975006166241881
24,0.9053687412644906,,
9,0.8518457617364137,12.0,0.7722601331908246
9,0.8317849214831867,12.0,0.6581435501109923
9,0.8641782454986434,12.0,0.782372769875853
24,0.84197977472663,,
6,0.8909808435418893,9.0,0.7286031406725314
21,0.82068568609718,24.0,0.7974184000657732
12,0.8652470607580367,15.0,0.7527748088465017
21,0.8137794951903313,24.0,0.7980761325330922
21,0.813368412398257,24.0,0.7789196744224287
9,0.8493792649839678,12.0,0.6398092575844775
9,0.861382882512538,12.0,0.7856614322124476
12,0.8171503740853407,15.0,0.6877415111403437
24,0.851681328619584,,
15,0.8243854312258488,18.0,0.7962673682479652
12,0.8012825783112719,15.0,0.7133930773657815
24,0.9097262188604786,,
6,0.9782126120200608,9.0,0.7897722601331908
15,0.820027953629861,18.0,0.7842637507193949
24,0.8539833922552001,,
9,0.9138370467812217,12.0,0.7711913179314314
15,0.8105730494121516,18.0,0.7559812546246815
3,0.989065197730823,6.0,0.7544191400147989
15,0.8353202334950259,18.0,0.7736578146838773
24,0.8500369974512867,,
24,0.8804571240647866,,
21,0.8069555208418976,24.0,0.7790841075392584
24,0.9082463208090109,,
24,0.8031735591548138,,
9,0.8215078516813287,12.0,0.7182438543122585
24,0.8682890734193867,,
24,0.8109841322042259,,
24,0.8284962591465921,,
15,0.8444462714790759,18.0,0.7857436487708624
24,0.8597385513442407,,
24,0.9084929704842555,,
6,0.9251007152840582,9.0,0.7605853818959138
18,0.8123818136972787,21.0,0.7929787059113705
12,0.8327715201841651,15.0,0.7301652552824138
9,0.8478993669325002,12.0,0.6253391433034613
18,0.8243032146674341,21.0,0.7992271643509002
9,0.8775795445202664,12.0,0.722190249116172
12,0.8246320809010935,15.0,0.7604209487790841
18,0.8157526925922881,21.0,0.790923291950999
24,0.9322535558661514,,
12,0.8534078763462961,15.0,0.7225191153498315
12,0.8493792649839678,15.0,0.7715201841650908
15,0.8215900682397435,18.0,0.7763709611115679
9,0.8463372523226178,12.0,0.7753021458521746
