Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
6,0.8722777140985754,9,0.7615850663173408
3,0.9006058621254298,6,0.7118061241198624
6,0.8468970034386769,9,0.7433273292942525
6,0.841738988046504,9,0.7063206156869166
6,0.8090715572294088,9,0.7023906991976421
12,0.8203700671360734,15,0.7853283117733748
9,0.8403471426232193,12,0.771655477321107
6,0.8757163910266906,9,0.7690355329949239
6,0.8960209595546095,9,0.7811527755035206
3,0.9229572621581792,6,0.75978385459309
6,0.8528737514327821,9,0.7378418208613067
9,0.8208613066972327,12,0.7656787293270018
6,0.8592598657278533,9,0.7306369739643033
6,0.8508269199279516,9,0.7682168003929917
3,0.954396594072376,6,0.6774193548387096
15,0.8008842312100868,18,0.7780415916161781
3,0.9315539544784673,6,0.6510561650564926
6,0.9066644833797282,9,0.7830358604879646
6,0.8644178811200262,9,0.7615031930571475
21,0.8091534304896021,24,0.7981824136237105
3,0.9564434255772065,6,0.7443916816767644
15,0.8136564598002293,18,0.7910594399869003
3,0.9372032094317996,6,0.7534796135582119
12,0.8193875880137547,15,0.7916325528082528
3,0.9544784673325691,6,0.6752087768134927
9,0.817258883248731,12,0.7538071065989848
3,0.9337645325036843,6,0.7901588341247748
3,0.9561978057966268,6,0.7231865072867202
6,0.8840674635663992,9,0.7755035205501883
9,0.8063697396430326,12,0.723514000327493
6,0.8905354511216637,9,0.7686261666939578
3,0.9313902079580809,6,0.7790240707384968
6,0.8748157851645653,9,0.7522515146553136
6,0.8482069756017685,9,0.7407892582282627
6,0.9168167676436876,9,0.7949074832159817
6,0.8182413623710496,9,0.7275257900769608
3,0.9281971508105453,6,0.775012280989029
3,0.9516947764859996,6,0.776485999672507
9,0.8045685279187818,12,0.7149173080072049
6,0.8768626166693958,9,0.7595382348125103
3,0.9250859669232029,6,0.7271164237759947
6,0.8370722122154904,9,0.7452922875388898
6,0.8206975601768463,9,0.6981332896675946
9,0.8295398722777141,12,0.7869657769772392
9,0.8141476993613885,12,0.7561814311445881
3,0.95144915670542,6,0.6435238251187162
15,0.8161945308662191,18,0.7950712297363681
3,0.9581627640412641,6,0.7772228590142459
3,0.8866055346323891,6,0.5646798755526445
6,0.8658915998035042,9,0.7610938267561814
3,0.9567709186179794,6,0.7816440150646798
3,0.958080890781071,6,0.7976093008023579
6,0.8217619125593582,9,0.6520386441788112
6,0.8981496643196332,9,0.7764041264123137
6,0.8824299983625348,9,0.7332569182904863
9,0.8238906173243818,12,0.7533977402980186
3,0.9205010643523825,6,0.7905682004257409
6,0.889552971999345,9,0.7682168003929917
3,0.9268871786474537,6,0.7893401015228426
3,0.9070738496806943,6,0.6969051907646963
6,0.8162764041264123,9,0.6855248075978385
6,0.8341247748485344,9,0.6973145570656624
6,0.8584411331259211,9,0.7340756508924186
6,0.8595873587686261,9,0.7719010971016866
6,0.9050270181758637,9,0.7908138202063206
12,0.811364008514819,15,0.7714098575405273
6,0.8901260848206975,9,0.795398722777141
6,0.847306369739643,9,0.7249058457507778
9,0.8026035696741445,12,0.7607663337154086
6,0.8365809726543311,9,0.7747666612084493
3,0.8928279024070739,6,0.5887506140494515
6,0.8818568855411822,9,0.7824627476666121
6,0.9080563288030129,9,0.7958080890781071
15,0.8247093499263141,18,0.7989192729654495
6,0.8590142459472736,9,0.7772228590142459
6,0.8279842803340429,9,0.6821680039299165
3,0.9329457999017521,6,0.7978549205829376
3,0.938840674635664,6,0.7623219256590797
3,0.9386769281152776,6,0.7949074832159817
6,0.8813656459800229,9,0.7955624692975274
12,0.8105452759128868,15,0.7765678729327001
9,0.8221712788603243,12,0.7403798919272966
6,0.8942197478303586,9,0.7346487637137711
6,0.8404290158834125,9,0.7011626002947438
3,0.9125593581136401,6,0.7488947109873915
6,0.873997052562633,9,0.740543638447683
9,0.8236449975438022,12,0.7558539381038153
6,0.8224987719010971,9,0.7021450794170624
6,0.836171606353365,9,0.7429179629932864
9,0.8423121008678566,12,0.7918781725888325
6,0.8218437858195513,9,0.688308498444408
6,0.8659734730636974,9,0.7433273292942525
9,0.8298673653184869,12,0.7555264450630425
6,0.8848043229081382,9,0.7737841820861306
3,0.9193548387096774,6,0.7949893564761749
9,0.8260193220894056,12,0.7651874897658425
9,0.8341247748485344,12,0.7711642377599476
6,0.8720320943179958,9,0.7556901915834289
6,0.879564434255772,9,0.7597019813328967
3,0.9347470116260029,6,0.7319469461273947
