Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
12,0.8736824632749606,15.0,0.7955846958253797
9,0.8086148228068719,12.0,0.7241264835256038
15,0.8170802556228732,18.0,0.7719312806041995
15,0.843472487343348,18.0,0.7864553074943978
6,0.9215702547929289,9.0,0.7951697236285169
24,0.8436384762220931,,
9,0.8911942899825712,12.0,0.7372396049464686
15,0.8309403269980912,18.0,0.7769109469665533
12,0.8418125985558967,15.0,0.7773259191634161
12,0.8403186986471907,15.0,0.7669516142418458
12,0.8570835754004482,15.0,0.7901070628267906
12,0.828699477135032,15.0,0.7415553157938418
24,0.8032201842476554,,
6,0.9470495476803055,9.0,0.7916839571748693
12,0.8444684206158187,15.0,0.781890613328907
21,0.8202340443190306,24.0,0.7998174122333803
24,0.8126815503361274,,
9,0.87625529089551,12.0,0.7716822972860818
15,0.8424765540708773,18.0,0.7990704622790273
18,0.8009793343845962,21.0,0.7648767532575318
18,0.8135944891692256,21.0,0.7779898746783965
9,0.8899493733919828,12.0,0.7881151962818491
9,0.8833098182421778,12.0,0.7687774919080421
24,0.8714416134119014,,
24,0.8467922649182504,,
9,0.8494480869781724,12.0,0.7378205660220766
24,0.8303593659224832,,
9,0.8403186986471907,12.0,0.7389824881732924
18,0.8277865383019337,21.0,0.791351979417379
15,0.8142584446842062,18.0,0.767864553074944
9,0.90314548925222,12.0,0.7896090961905552
24,0.8875425346501784,,
24,0.8257116773176197,,
24,0.832102249149307,,
15,0.8380778487841315,18.0,0.7915179682961242
12,0.8785791351979417,15.0,0.7969956012947133
9,0.8524358867955847,12.0,0.7422192713088223
12,0.8692837579882148,15.0,0.7898580795086729
18,0.8257946717569923,21.0,0.7963316457797328
12,0.8549257199767616,15.0,0.7728442194372978
9,0.8042161175201261,12.0,0.6658643870860652
12,0.8617312640053116,15.0,0.7957506847041248
24,0.8794090795916674,,
24,0.8061249896256951,,
15,0.8051290563532243,18.0,0.7423022657481949
15,0.816167316789775,18.0,0.7603120590920408
9,0.8086978172462445,12.0,0.6954104075026973
12,0.8571665698398208,15.0,0.794588762552909
9,0.819985061000913,12.0,0.7050377624699146
12,0.8190721221678148,15.0,0.7326749107809777
9,0.888372479043904,12.0,0.7540874761390987
24,0.8760063075773923,,
12,0.8322682380280522,15.0,0.7587351647439622
21,0.8020582620964395,24.0,0.7788198190721222
24,0.8349240600879742,,
24,0.8204830276371483,,
24,0.8720225744875093,,
15,0.8355880156029546,18.0,0.793260851522948
15,0.8378288654660138,18.0,0.78587434641879
18,0.8099427338368329,21.0,0.7813926466926716
15,0.8111046559880488,18.0,0.7676985641961989
12,0.8359199933604449,15.0,0.7692754585442775
15,0.82604365507511,18.0,0.7682795252718068
12,0.8009793343845962,15.0,0.6898497800647356
24,0.9248900323678314,,
15,0.8132625114117354,18.0,0.7609760146070214
9,0.8950950286330815,12.0,0.7958336791434973
6,0.935762303925637,9.0,0.7605610424101585
12,0.8687857913519794,15.0,0.7934268404016931
12,0.8596564030209976,15.0,0.7755830359365923
12,0.8034691675657731,15.0,0.7261183500705453
24,0.8117686115030293,,
9,0.8727695244418624,12.0,0.771267325089219
18,0.8026392231720475,21.0,0.7743381193460038
9,0.8789941073948045,12.0,0.7807286911776911
24,0.8175782222591086,,
15,0.8020582620964395,18.0,0.7549174205328243
15,0.8009793343845962,18.0,0.7582371981077268
24,0.8388247987384845,,
15,0.8057930118682048,18.0,0.7321769441447423
24,0.8304423603618557,,
21,0.8204830276371483,24.0,0.7904390405842808
9,0.8578305253548012,12.0,0.7388164992945473
24,0.8564196198854677,,
6,0.9485434475890115,9.0,0.7632998589094531
18,0.8155033612747946,21.0,0.7891111295543198
24,0.9233131380197527,,
21,0.8099427338368329,24.0,0.7802307245414557
12,0.8532658311893103,15.0,0.7911859905386339
15,0.8064569673831853,18.0,0.759150136940825
12,0.8175782222591086,15.0,0.7311810108722716
21,0.8081998506100091,24.0,0.7750020748609843
18,0.8156693501535397,21.0,0.7707693584529837
12,0.8335961490580132,15.0,0.7735081749522782
24,0.863557141671508,,
15,0.822059921985227,18.0,0.787368246327496
9,0.805378039671342,12.0,0.727695244418624
9,0.8798240517885302,12.0,0.7724292472404349
15,0.8413146319196614,18.0,0.799319445597145
15,0.8044651008382439,18.0,0.749107809776745
