Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
9,0.8121421353991243,12.0,0.710508588750421
9,0.8478443920511957,12.0,0.7836813742000673
15,0.8288144156281576,18.0,0.7944594139440889
6,0.8264567194341529,9.0,0.6967834287638935
6,0.9093971034018188,9.0,0.7658302458740317
15,0.8057426743011115,18.0,0.76002020882452
9,0.8646850791512294,12.0,0.7664196699225329
21,0.8058268777366117,24.0,0.7882283597170765
18,0.8087739979791175,21.0,0.7730717413270461
9,0.8677164028292355,12.0,0.7507578309195015
12,0.8526439878747053,15.0,0.7969013135735938
6,0.8380767935331761,9.0,0.6427248231727855
12,0.8004378578646009,15.0,0.7410744358369822
9,0.8904513304142809,12.0,0.7979117547995959
9,0.8063320983496126,12.0,0.718507915122937
9,0.8767261704277535,12.0,0.7991748063320984
15,0.8089424048501179,18.0,0.7575783091950151
21,0.808521387672617,24.0,0.7846918154260694
9,0.9013135735938026,12.0,0.7900808352980802
12,0.8263725159986527,15.0,0.7536207477265072
6,0.8680532165712361,9.0,0.6922364432468845
15,0.8069215223981139,18.0,0.7718086897945436
18,0.8191310205456382,21.0,0.78999663186258
6,0.8406871000336814,9.0,0.6778376557763557
24,0.829488043112159,,
3,0.9822330751094644,6.0,0.784018187942068
9,0.8525597844392051,12.0,0.7786291680700572
9,0.8691478612327384,12.0,0.7765240821825531
9,0.8528123947457056,12.0,0.765998652745032
9,0.8630852138767262,12.0,0.7761030650050522
24,0.8524755810037049,,
6,0.9217750084203435,9.0,0.7830919501515662
15,0.8338666217581677,18.0,0.7889019872010778
15,0.8026271471876053,18.0,0.7637251599865275
15,0.814499831593129,18.0,0.7777029302795554
9,0.827046143482654,12.0,0.7551364095655103
15,0.8185415964971371,18.0,0.7818288986190637
9,0.864011451667228,12.0,0.7909228696530819
12,0.8025429437521051,15.0,0.75
6,0.8043954193331088,9.0,0.6205793196362411
12,0.8228359717076457,15.0,0.7611990569215223
18,0.8251094644661502,21.0,0.7989221960255979
24,0.8141630178511283,,
6,0.8747052879757494,9.0,0.6681542606938363
12,0.8400134725496801,15.0,0.7783765577635567
18,0.802037723139104,21.0,0.7758504546985517
12,0.8486022229706972,15.0,0.7952172448635905
12,0.8001852475581004,15.0,0.7389693499494779
24,0.8150892556416302,,
24,0.8002694509936006,,
12,0.8031323678006063,15.0,0.7560626473560121
6,0.9258167733243516,9.0,0.7552206130010104
18,0.8059110811721119,21.0,0.7762714718760525
9,0.8017009093971034,12.0,0.725496800269451
21,0.8191310205456382,24.0,0.7978275513640957
9,0.8832098349612664,12.0,0.7958066689120916
12,0.8347928595486696,15.0,0.7582519366790165
9,0.8646008757157292,12.0,0.7809026608285619
9,0.8419501515661839,12.0,0.7530313236780061
6,0.872515998652745,9.0,0.686005389019872
18,0.8156786796901313,21.0,0.7925227349275851
15,0.8230043785786461,18.0,0.7858706635230718
15,0.806500505220613,18.0,0.7627147187605254
6,0.9045133041428091,9.0,0.7864600875715729
18,0.8123947457056248,21.0,0.7824183226675648
21,0.8061636914786123,24.0,0.7888177837655777
9,0.8230885820141461,12.0,0.7074772650724149
9,0.8877568204782755,12.0,0.7886493768945773
9,0.8225833614011452,12.0,0.7394745705624789
9,0.8566857527787134,12.0,0.7737453688110475
6,0.8078477601886157,9.0,0.5916975412596834
6,0.827046143482654,9.0,0.6411249578982823
9,0.8699056921522398,12.0,0.7820815089255642
12,0.8523071741327046,15.0,0.7841865948130684
12,0.8423711687436848,15.0,0.7663354664870327
21,0.8122263388346245,24.0,0.7895756146850792
18,0.814499831593129,21.0,0.7932805658470866
12,0.8471707645671943,15.0,0.7836813742000673
12,0.8471707645671943,15.0,0.7922701246210846
12,0.8454024924216909,15.0,0.7796396092960592
9,0.8705793196362411,12.0,0.7646513977770293
6,0.9197541259683395,9.0,0.7876389356685752
9,0.8680532165712361,12.0,0.7980801616705961
6,0.9179858538228359,9.0,0.7559784439205119
9,0.8011956887841024,12.0,0.7178342876389356
15,0.8143314247221287,18.0,0.7645671943415291
9,0.8504546985517009,12.0,0.7441057595149883
12,0.8079319636241159,15.0,0.7351801953519703
12,0.8234253957561468,15.0,0.7736611653755473
18,0.8043954193331088,21.0,0.7708824520040418
12,0.8135735938026272,15.0,0.7532839339845065
9,0.8608959245537218,12.0,0.777029302795554
9,0.894493095318289,12.0,0.7965644998315932
18,0.808016167059616,21.0,0.7735769619400471
6,0.8907881441562816,9.0,0.6706803637588413
9,0.8604749073762209,12.0,0.7531155271135063
12,0.8069215223981139,15.0,0.7261704277534523
18,0.8131525766251263,21.0,0.7803132367800606
15,0.8253620747726508,18.0,0.7902492421690805
15,0.8095318288986191,18.0,0.7673459077130347
