Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
9,0.8775267538644471,12.0,0.7867334805503652
18,0.8211313062680482,21.0,0.7873280108714116
12,0.8170545269237303,15.0,0.7451163580771191
9,0.8296245965687107,12.0,0.7497027348394768
18,0.8030405979276372,21.0,0.7759470018685238
9,0.8799048751486326,12.0,0.7754374044504841
18,0.8195175811109223,21.0,0.7905554611856633
9,0.8920502802785799,12.0,0.7994734160013589
12,0.8487344997452013,15.0,0.7982843553592662
12,0.828435535926618,15.0,0.7592152199762188
24,0.8871241719041957,,
6,0.8584168506879565,9.0,0.6530490912179379
9,0.8900968235094275,12.0,0.7733990147783252
9,0.8285204688296246,12.0,0.7218447426533039
9,0.8100900288771871,12.0,0.6931374214370647
18,0.816884661117717,21.0,0.7919993205367759
6,0.8940886699507389,9.0,0.7320366910140989
15,0.8077968404960082,18.0,0.754628843213861
9,0.8971462544589774,12.0,0.7929335824698488
9,0.8131476133854255,12.0,0.712756922031595
9,0.8201970443349754,12.0,0.714115848479701
24,0.8883132325462885,,
9,0.8394768133174791,12.0,0.753949379989808
6,0.9596568710718533,9.0,0.7925938508578223
24,0.8450823849159165,,
6,0.920332936979786,9.0,0.7891965347375574
24,0.873025310005096,,
9,0.887973500934262,12.0,0.7769661967046033
15,0.8384576184813997,18.0,0.7888568031255309
18,0.8105996262952267,21.0,0.7765415321895702
24,0.8857652454560897,,
9,0.8687786648547647,12.0,0.7734839476813318
6,0.9256837098692033,9.0,0.777730592831663
12,0.8145914727365381,15.0,0.723628333616443
6,0.8574825887548836,9.0,0.626295226770851
9,0.8055036521148293,12.0,0.6925428911160183
12,0.8486495668421946,15.0,0.7809580431459148
6,0.8122133514523526,9.0,0.598692033293698
24,0.8932393409206727,,
3,0.9873449974520129,6.0,0.784525225072193
9,0.8677594700186853,12.0,0.7427382367929336
15,0.8289451333446577,18.0,0.7958213011720741
6,0.9063190079836929,9.0,0.7008663156106676
15,0.8127229488703924,18.0,0.7610837438423645
12,0.8237642262612536,15.0,0.7352641413283506
6,0.8326821810769492,9.0,0.6373365041617123
15,0.8242738236792934,18.0,0.7868184134533719
6,0.9370647188720911,9.0,0.7966706302021404
9,0.8768472906403941,12.0,0.780448445727875
12,0.8019364701885511,15.0,0.7322914897231187
9,0.8194326482079157,12.0,0.6868523866145745
6,0.8731951758111092,9.0,0.6864277220995414
6,0.931883811788687,9.0,0.7487684729064039
9,0.8613895022931883,12.0,0.7533548496687617
15,0.8331068455919823,18.0,0.7915746560217428
9,0.8561236623067776,12.0,0.7406998471207746
9,0.8861899099711228,12.0,0.7968404960081535
12,0.8337863088160353,15.0,0.7796840496008154
6,0.813487344997452,9.0,0.598012570069645
24,0.8335315101070154,,
6,0.9473416001358926,9.0,0.7844402921691863
12,0.8132325462884321,15.0,0.7581960251401393
9,0.8018515372855444,12.0,0.6943264820791575
6,0.8060981824358756,9.0,0.6379310344827587
12,0.8425343978257177,15.0,0.784525225072193
18,0.8241039578732801,21.0,0.7881773399014779
6,0.9021572957363683,9.0,0.739680652284695
18,0.8009172753524716,21.0,0.7677085102768813
9,0.870307457108884,12.0,0.7915746560217428
12,0.8574825887548836,15.0,0.7785799218617292
3,0.9836079497197214,6.0,0.6909291659588924
12,0.8378630881603534,15.0,0.7914047902157296
12,0.8517920842534398,15.0,0.7912349244097163
24,0.848564633939188,,
15,0.8187531849838627,18.0,0.773653813487345
6,0.9196534737557329,9.0,0.7459656871071854
9,0.8375233565483268,12.0,0.7580261593341261
15,0.8252080856123662,18.0,0.7784949889587226
9,0.8703923900118906,12.0,0.7787497876677425
24,0.8661457448615594,,
6,0.9089519279768983,9.0,0.7785799218617292
12,0.8160353320876508,15.0,0.7638015967385765
24,0.8855104467470698,,
21,0.8091557669441142,24.0,0.7808731102429081
9,0.8480550365211483,12.0,0.6793782911499915
6,0.9092916595889248,9.0,0.7215050110412774
24,0.8184134533718362,,
9,0.8449974520129098,12.0,0.7178528962119926
12,0.8075420417869883,15.0,0.7361984032614235
12,0.8033803295396637,15.0,0.7445218277560727
18,0.8105996262952267,21.0,0.7871581450653984
18,0.8266519449634788,21.0,0.7946322405299813
18,0.8272464752845252,21.0,0.7935281127908952
9,0.8735349074231358,12.0,0.7912349244097163
12,0.8378630881603534,15.0,0.76346186512655
9,0.8269916765755053,12.0,0.6957703414302701
6,0.9583828775267539,9.0,0.7859690844233056
15,0.808731102429081,18.0,0.7715304909121794
24,0.8312383217258366,,
6,0.8700526583998641,9.0,0.68923050789876
