Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
15,0.8342430998693011,18.0,0.7958022603213655
24,0.8036441915891444,,
21,0.804413008380103,24.0,0.7758130237564388
21,0.8129468747597447,24.0,0.787652802337203
6,0.8446990082263397,9.0,0.5909894672099638
12,0.8201737525947567,15.0,0.7658952871530714
9,0.8736834012454832,12.0,0.7540555085723072
12,0.846313523487353,15.0,0.7319904666717921
24,0.8511570692703929,,
24,0.8972860767279157,,
24,0.8879065118782195,,
21,0.8172522487891135,24.0,0.787729684016299
24,0.8141769816252787,,
12,0.8435457830399016,15.0,0.799646344276159
24,0.8645344814330745,,
12,0.8074882755439379,15.0,0.7639732451756747
9,0.8066425770738833,12.0,0.6457292227262244
9,0.9176597216883217,12.0,0.7953409702467902
12,0.858230183747213,15.0,0.7729684016298916
12,0.8317828861382333,15.0,0.7664334589067425
21,0.8090259091258553,24.0,0.7900361343891751
6,0.9517951872068886,9.0,0.7941108633812562
18,0.8127162297224572,21.0,0.7848850618897517
12,0.8683016837087723,15.0,0.7948027984931191
9,0.8677635119551012,12.0,0.7981855923733374
24,0.9320365956792497,,
24,0.8521565310986392,,
24,0.937187668178673,,
15,0.8084108556930883,18.0,0.7336818636119012
9,0.909048973629584,12.0,0.7740447451372338
12,0.8398554624432998,15.0,0.7952640885676944
24,0.895979088183286,,
9,0.8782194203121396,12.0,0.788882909202737
9,0.9235796109787038,12.0,0.7808872145767664
15,0.842700084569847,18.0,0.7883447374490659
12,0.8224802029676328,15.0,0.7309141231644499
3,0.9949258091796724,6.0,0.7626662566310448
24,0.9248097178442377,,
9,0.9146613362035827,12.0,0.7635888367801953
9,0.8897516721765203,12.0,0.7538248635350197
18,0.8340893365111094,21.0,0.7919581763665718
21,0.8010302144998847,24.0,0.7753517336818636
24,0.9173521949719382,,
9,0.8183285922964557,12.0,0.712308756823249
12,0.809794725916814,15.0,0.7471361574536788
24,0.8654570615822249,,
15,0.836703313600369,18.0,0.7900361343891751
24,0.8675328669178135,,
12,0.8460828784500654,15.0,0.7825017298377797
12,0.8902898439301914,15.0,0.7988006458061044
12,0.8054124702083494,15.0,0.7372953025294072
15,0.856461905128008,18.0,0.7928038748366264
21,0.8030291381563773,24.0,0.7778119474129315
9,0.8446221265472438,12.0,0.7693549627123857
15,0.8111785961405397,18.0,0.7485969093565004
9,0.9098946720996387,12.0,0.7961866687168447
12,0.8503113708003383,15.0,0.7730452833089875
9,0.9026677942646267,12.0,0.7825017298377797
9,0.8700699623279773,12.0,0.721303913277466
9,0.8136388098716076,12.0,0.7528254017067733
18,0.82178826785577,21.0,0.7873452756208196
12,0.8300146075190282,15.0,0.7038517721227031
9,0.8214807411393865,12.0,0.6707926501114785
24,0.8770661951257015,,
9,0.8194049358037979,12.0,0.7211501499192743
24,0.862996847851157,,
18,0.8252479434150842,21.0,0.7934958099484892
24,0.9651725993695702,,
24,0.8173291304682094,,
24,0.8075651572230338,,
12,0.8720688859844699,15.0,0.7835011916660259
9,0.9066656415776121,12.0,0.7459060505881449
24,0.8087952640885677,,
18,0.822403321288537,21.0,0.7957253786422696
21,0.8131006381179365,24.0,0.7908818328592296
12,0.8653032982240332,15.0,0.7971092488659952
3,0.9941569923887138,6.0,0.7798108710694241
12,0.8264011686015222,15.0,0.7575920658107173
12,0.8526178211732144,15.0,0.7672022756977013
15,0.811563004536019,18.0,0.7550549704005536
21,0.8326285846082878,24.0,0.7975705389405705
24,0.9058968247866533,,
9,0.9050511263165988,12.0,0.786499577150765
6,0.8499269624048589,9.0,0.7286076727915738
15,0.806796340432075,18.0,0.7635888367801953
6,0.9670177596678712,9.0,0.7922657030829553
9,0.9125855308679942,12.0,0.7869608672253402
21,0.8042592450219113,24.0,0.7642038902129622
24,0.8404705158760667,,
24,0.8456215883754902,,
9,0.8469285769201199,12.0,0.7590528177135388
9,0.8083339740139924,12.0,0.6669485661566849
15,0.8344737449065888,18.0,0.7544399169677866
6,0.9100484354578304,9.0,0.6980856461905128
18,0.80149150457446,21.0,0.7749673252863842
18,0.8538479280387483,21.0,0.7998001076343507
12,0.8683785653878681,15.0,0.7932651649112017
12,0.8364726685630814,15.0,0.7715076497270701
9,0.8513108326285846,12.0,0.7469823940954871
24,0.8440070731144769,,
