Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
12,0.8172863826643684,15.0,0.7372568332922925
24,0.8638266436838217,,
21,0.8149880981695805,24.0,0.7819912993515554
24,0.9319543626364606,,
15,0.8582450956250512,18.0,0.7932364770581959
12,0.8570959533776574,15.0,0.7744397931543955
15,0.8422391857506362,18.0,0.7699253057539194
12,0.8352622506771731,15.0,0.7645900024624477
24,0.836985964048264,,
9,0.8414183698596405,12.0,0.6792251497989001
9,0.8076828367397193,12.0,0.6575556102766149
24,0.850201099893294,,
24,0.8371501272264631,,
15,0.8228679307231388,18.0,0.7431667077074612
21,0.8126077320856931,24.0,0.7894607239596159
12,0.8196667487482557,15.0,0.7060658294344578
15,0.8387096774193549,18.0,0.7980792908150702
15,0.8093244685217106,18.0,0.7475170319297382
15,0.8096527948781088,18.0,0.7645900024624477
24,0.9315439546909628,,
12,0.8749897398013625,15.0,0.7491586637117295
15,0.8236066650250349,18.0,0.7483378478207338
9,0.8775342690634491,12.0,0.6991709759500944
15,0.8588196667487482,18.0,0.7983255355823689
9,0.9051957645900025,12.0,0.7671345317245342
24,0.8446195518345235,,
6,0.9485348436345727,9.0,0.7269145530657474
24,0.8489698760568004,,
15,0.8020192070918493,18.0,0.7472707871624394
21,0.8170401378970696,24.0,0.7796930148567677
24,0.8148239349913814,,
9,0.9037182959862103,12.0,0.7724698350160059
24,0.9235820405483051,,
18,0.8197488303373553,21.0,0.7684478371501272
21,0.8280390708364114,24.0,0.7996388410079619
24,0.8291882130838053,,
15,0.8545514241155708,18.0,0.7932364770581959
18,0.8207338094065502,21.0,0.7773126487728802
21,0.802840022982845,24.0,0.7654928999425429
21,0.8236066650250349,24.0,0.7955347615529836
24,0.8584092588032505,,
15,0.8464253467947139,18.0,0.7733727324961012
24,0.8352622506771731,,
18,0.847738652220307,21.0,0.7927439875235984
18,0.8264795206435197,21.0,0.7869982762866289
15,0.8228679307231388,18.0,0.7453008290240499
15,0.8115406714273988,18.0,0.7498973980136255
6,0.9547730444061397,9.0,0.778297627842075
12,0.8089140605762127,15.0,0.7378314044159895
24,0.8350160059098745,,
18,0.821308380530247,21.0,0.7727981613724042
21,0.8132643847984897,24.0,0.783222523188049
21,0.8103094475909054,24.0,0.7841254206681442
15,0.8598867274070426,18.0,0.7929902322908972
18,0.8456866124928178,21.0,0.7988180251169663
9,0.8414183698596405,12.0,0.6818517606500862
18,0.8231141754904375,21.0,0.7712386111795124
24,0.8909956496757777,,
6,0.967167364360174,9.0,0.7522777640975129
24,0.9438561930558975,,
9,0.8427316752852335,12.0,0.6998276286628909
12,0.8567676270212591,15.0,0.7382418123614873
24,0.9063449068373963,,
24,0.8304194369202987,,
15,0.8137568743330871,18.0,0.7457933185586473
12,0.8489698760568004,15.0,0.7107444800131331
24,0.9299023229089716,,
15,0.8550439136501683,18.0,0.7990642698842649
21,0.8013625543790528,24.0,0.7673807764918329
9,0.9009275219568251,12.0,0.7595830255273742
15,0.8052203890667323,18.0,0.7257654108183534
12,0.8639908068620209,15.0,0.7564639251415908
6,0.954526799638841,9.0,0.7431667077074612
21,0.8227037675449397,24.0,0.7943035377164902
12,0.8747434950340639,15.0,0.7929902322908972
15,0.8375605351719609,18.0,0.7588442912254781
3,0.9966346548469178,6.0,0.5973077238775343
24,0.8977263399819421,,
24,0.8755643109250595,,
9,0.8960026266108512,12.0,0.7513748666174177
18,0.8027579413937453,21.0,0.7499794796027252
12,0.8196667487482557,15.0,0.6902240827382418
18,0.8203234014610523,21.0,0.7800213412131659
24,0.8444553886563244,,
24,0.8695723549207912,,
21,0.8161372404169744,24.0,0.7792826069112698
21,0.8153985061150784,24.0,0.7860953788065337
21,0.8180251169662645,24.0,0.7892144791923171
15,0.8473282442748091,18.0,0.7818271361733563
24,0.944923253714192,,
9,0.8952638923089551,12.0,0.7700894689321185
15,0.8318969055240909,18.0,0.7878190921776246
24,0.838299269473857,,
15,0.8024296150373471,18.0,0.7448083394894525
21,0.8163014035951736,24.0,0.7798571780349668
12,0.8604612985307396,15.0,0.794713945661988
24,0.8384634326520561,,
12,0.8850036936715094,15.0,0.7976688828695724
21,0.822457522777641,24.0,0.797915127636871
21,0.8149880981695805,24.0,0.7929081507017975
