Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
6,0.9100520360122243,9.0,0.7428760221359544
12,0.816717601387627,15.0,0.7451061369455687
12,0.8132485339060048,15.0,0.7350293218799042
15,0.824068720574874,18.0,0.794829437515487
9,0.8290245312629058,12.0,0.7529528372016189
15,0.8096142727347815,18.0,0.7727760799537458
12,0.8129181465268027,15.0,0.7542743867184274
15,0.8182043445940365,18.0,0.7884694804658462
9,0.8876682910712811,12.0,0.7908647889650615
9,0.860163541752705,12.0,0.7859089782770298
15,0.8232427521268687,18.0,0.7887172710002478
12,0.8369538283637565,15.0,0.7985462955315107
18,0.8151482613364169,21.0,0.7875609151730404
9,0.8828776740728504,12.0,0.7910299826546626
3,0.9850499710911044,6.0,0.7349467250351036
12,0.8281159659701,15.0,0.769224415627323
6,0.9261584207483274,9.0,0.7542743867184274
21,0.8091186916659784,24.0,0.7871479309490378
12,0.8327413892789296,15.0,0.7835136697778144
24,0.8420748327413893,,
12,0.8329891798133311,15.0,0.769224415627323
15,0.8114314033203932,18.0,0.7679854629553151
9,0.803749896753944,12.0,0.7254480878830428
18,0.8087883042867763,21.0,0.7887998678450483
12,0.8393491368629719,15.0,0.79375567853308
6,0.881721318245643,9.0,0.6506979433385645
9,0.8362930536053522,12.0,0.7372594366895184
12,0.8005286198067234,15.0,0.7343685471214999
6,0.8448005286198067,9.0,0.676715949450731
24,0.8022631535475345,,
9,0.849838936152639,12.0,0.7448583464111671
9,0.8315850334517222,12.0,0.7519616750640126
21,0.808127529528372,24.0,0.7844222350706203
6,0.9181465268026762,9.0,0.7921037416370694
12,0.8335673577269348,15.0,0.7877261088626415
9,0.8454613033782109,12.0,0.7304038985710746
3,0.9710085074750144,6.0,0.6914181878252251
6,0.8726356653175849,9.0,0.7372594366895184
9,0.8429008011893946,12.0,0.7405633104815396
9,0.8129181465268027,12.0,0.7332947881390931
9,0.8462046749814157,12.0,0.7915255637234657
12,0.8041628809779466,15.0,0.7435367968943586
21,0.8006112166515239,24.0,0.7873131246386388
12,0.8269596101428925,15.0,0.7774015032625754
9,0.8746179895927976,12.0,0.7971421491699017
9,0.8606591228215082,12.0,0.7679028661105146
6,0.9069133559098043,9.0,0.7859915751218304
12,0.8158916329396217,15.0,0.7620384901296771
6,0.895927975551334,9.0,0.760634343768068
9,0.8285289501941026,12.0,0.7456017180143718
21,0.8052366399603536,24.0,0.7852482035186256
12,0.8125877591476005,15.0,0.7596431816304617
9,0.8202692657140497,12.0,0.7241265383662344
3,0.9807549351614768,6.0,0.7494011728751961
6,0.9121995539770381,9.0,0.7738498389361527
9,0.8415792516725861,12.0,0.7356074997935079
9,0.813909308664409,12.0,0.6950524489964484
12,0.8086231105971752,15.0,0.7640208144048898
6,0.9246716775419179,9.0,0.79375567853308
12,0.8015197819443297,15.0,0.7148756917485752
18,0.8108532254067895,21.0,0.7846700256050219
9,0.8457090939126125,12.0,0.7711241430577352
6,0.9230197406459073,9.0,0.7969769554803007
18,0.8203518625588503,21.0,0.7968117617906996
6,0.9050962253241926,9.0,0.7612951185264722
9,0.8225819773684645,12.0,0.6997604691500785
6,0.8634674155447262,9.0,0.6964565953580574
3,0.9795985793342694,6.0,0.6724209135211034
24,0.8172131824564302,,
6,0.9282233418683407,9.0,0.7061204261997192
12,0.8511604856694475,15.0,0.7973899397043033
24,0.8608243165111092,,
6,0.8860163541752705,9.0,0.7076897662509292
9,0.8453787065334104,12.0,0.7534484182704221
15,0.8298504997109111,18.0,0.7932600974642768
15,0.8306764681589164,18.0,0.7951598248946891
6,0.9333443462459734,9.0,0.7858263814322293
15,0.8163046171636243,18.0,0.7759147600561659
6,0.8906417774841001,9.0,0.7035599240109028
9,0.8020979598579334,12.0,0.7347815313455026
6,0.9127777318906418,9.0,0.7883042867762452
6,0.8329891798133311,9.0,0.6689518460394813
6,0.9015445609977699,9.0,0.7422978442223507
15,0.8012719914099281,18.0,0.7701329809201288
18,0.8016849756339308,21.0,0.7754191789873627
12,0.8206822499380524,15.0,0.7664987197489056
18,0.8006112166515239,21.0,0.7755843726769638
12,0.8170479887668292,15.0,0.7688114314033204
9,0.8626414470967209,12.0,0.7867349467250351
9,0.8742050053687949,12.0,0.7981333113075081
15,0.8124225654579995,18.0,0.7810357644337986
9,0.8102750474931858,12.0,0.7114892211117535
15,0.8054018336499545,18.0,0.7570000825968448
9,0.8677624514743537,12.0,0.7836788634674156
12,0.8173783761460313,15.0,0.783265879243413
18,0.8013545882547287,21.0,0.7871479309490378
6,0.9140166845626497,9.0,0.7904518047410589
12,0.8127529528372016,15.0,0.7543569835632279
6,0.9036094821177831,9.0,0.7966465681010986
9,0.8479392087222268,12.0,0.7193359213678038
