Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
15,0.8176255562619199,18.0,0.7627940241576605
24,0.801176096630642,,
24,0.888986013986014,,
24,0.8078512396694215,,
9,0.920057215511761,12.0,0.7286236490781945
15,0.8216783216783217,18.0,0.7655753337571519
24,0.833041958041958,,
24,0.9166401780038144,,
21,0.817546090273363,24.0,0.7811506675143038
24,0.914574062301335,,
12,0.8653051493960585,15.0,0.7845677050222505
15,0.8437698664971393,18.0,0.7729656706929434
18,0.8153210425937699,21.0,0.7869516846789574
21,0.8031627463445645,24.0,0.7856007628734901
24,0.8903369357914812,,
21,0.8068976478067387,24.0,0.7822631913541005
15,0.8383661792752701,18.0,0.7482517482517482
15,0.8289891926255563,18.0,0.773283534647171
15,0.8415448188175461,18.0,0.7815479974570884
24,0.9167991099809282,,
15,0.811268277177368,18.0,0.7357755880483153
24,0.8642720915448188,,
24,0.9447711379529561,,
24,0.8896217418944692,,
12,0.8007787666878576,15.0,0.7097902097902098
9,0.84631277813096,12.0,0.6864272091544819
9,0.8313731722822632,12.0,0.7059758423394787
24,0.8418626827717737,,
9,0.9136999364272091,12.0,0.7898124602670057
24,0.8644310235219326,,
15,0.8100762873490146,18.0,0.757787666878576
15,0.8365384615384616,18.0,0.7881436745073108
24,0.9307851239669421,,
9,0.8068976478067387,12.0,0.6010012714558169
12,0.8528289891926255,15.0,0.7844882390336936
12,0.8165924984106803,15.0,0.7170216147488875
24,0.8933566433566433,,
24,0.9747298156389066,,
24,0.8334392879847425,,
9,0.8911315956770502,12.0,0.7736808645899556
9,0.8351875397329943,12.0,0.6195168467895741
12,0.8787349014621741,15.0,0.7425301970756516
18,0.8289097266369994,21.0,0.7992689129052766
12,0.8386840432294977,15.0,0.7432453909726637
18,0.8114272091544819,21.0,0.7612841703750794
15,0.823823903369358,18.0,0.7874284806102988
21,0.8041958041958042,24.0,0.7726478067387158
24,0.8870788302606485,,
12,0.8002225047679593,15.0,0.732914812460267
24,0.8432930705657978,,
18,0.8231087094723458,21.0,0.7863954227590592
24,0.8122218690400509,,
6,0.9736967577876668,9.0,0.7534965034965035
9,0.8853305785123967,12.0,0.7690718372536555
12,0.8018118245390973,15.0,0.7078035600762873
12,0.8571996185632549,15.0,0.7990305149396059
24,0.8922441195168468,,
24,0.8935155753337571,,
6,0.8847743165924984,9.0,0.7568340750158932
21,0.8220756516211062,24.0,0.7976001271455817
24,0.8562460267005721,,
24,0.8419421487603306,,
15,0.8066592498410681,18.0,0.7560394151303242
15,0.8075333757151939,18.0,0.7398283534647171
9,0.9213286713286714,12.0,0.7763032422123332
12,0.8480610298792117,15.0,0.7309281627463445
15,0.823744437380801,18.0,0.7724094087730451
24,0.8228703115066751,,
15,0.8332803560076287,18.0,0.7924348378893833
24,0.8646694214876033,,
24,0.8705499046408137,,
9,0.8433725365543547,12.0,0.6595677050222505
15,0.8219167196439924,18.0,0.7692307692307693
9,0.8025270184361093,12.0,0.6600445009535919
15,0.8082485696122059,18.0,0.7555626191989828
18,0.8050699300699301,21.0,0.7632708200890019
12,0.8146853146853147,15.0,0.7393515575333757
9,0.8740464081373173,12.0,0.7621582962492054
24,0.8583916083916084,,
24,0.8464717101080738,,
24,0.9129052765416402,,
9,0.8660998092816274,12.0,0.6736331849968213
18,0.805149396058487,21.0,0.7612047043865225
3,0.9924507310870947,6.0,0.6981087094723458
18,0.8251748251748252,21.0,0.7915607120152575
21,0.8258900190718372,24.0,0.7963286713286714
24,0.9356325492689129,,
9,0.8629211697393515,12.0,0.757787666878576
24,0.8290686586141132,,
12,0.822949777495232,15.0,0.7367291799109981
15,0.803639542275906,18.0,0.7640654799745709
12,0.8587889383343928,15.0,0.7736808645899556
9,0.8806420851875397,12.0,0.7480928162746344
24,0.8688811188811189,,
15,0.8165130324221234,18.0,0.7694691671964399
24,0.8129370629370629,,
15,0.8335187539732994,18.0,0.7848855689764781
9,0.8905753337571519,12.0,0.7567546090273363
9,0.9028925619834711,12.0,0.7698664971392244
9,0.9177527018436109,12.0,0.7682771773680864
