Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
21,0.8230074217489513,24.0,0.787431429493385
9,0.8438205872862213,12.0,0.7475798644724104
24,0.8426911907066795,,
9,0.8761697321716683,12.0,0.7924330429170701
21,0.8217166828009035,24.0,0.7909002904162633
15,0.8116327847692804,18.0,0.749757986447241
15,0.8238141335914811,18.0,0.7717812197483059
24,0.8463213939980639,,
15,0.8019522426589223,18.0,0.7324943530171023
21,0.8170377541142304,24.0,0.7934817683123588
18,0.8006615037108745,21.0,0.7687963859309455
24,0.8003388189738625,,
24,0.8395450145208132,,
12,0.8146982897708939,15.0,0.7374959664407873
12,0.8257502420135527,15.0,0.7665375927718618
6,0.9244111003549532,9.0,0.7864633752823491
15,0.8413197805743788,18.0,0.798080025814779
12,0.8383349467570184,15.0,0.7728299451435947
9,0.8484995159728945,12.0,0.7539528880283962
9,0.8923039690222653,12.0,0.7544369151339142
24,0.8034849951597289,,
6,0.8941594062600839,9.0,0.7014359470797031
9,0.8334946757018393,12.0,0.7475798644724104
15,0.8451113262342691,18.0,0.7865440464666021
18,0.8075992255566312,21.0,0.7865440464666021
9,0.835027428202646,12.0,0.760406582768635
21,0.8126008389803162,24.0,0.7810584059373992
6,0.8984349790254921,9.0,0.7574217489512746
15,0.8147789609551468,18.0,0.7621006776379478
15,0.803323652791223,18.0,0.7403194578896418
24,0.8207486285898677,,
6,0.9136818328493063,9.0,0.7488706034204582
18,0.8281703775411423,21.0,0.7987253952888028
24,0.8104227170054856,,
15,0.8201839303000968,18.0,0.7716198773798
9,0.8474507905776056,12.0,0.7698451113262342
24,0.8024362697644402,,
6,0.8754436915133914,9.0,0.6905453372055502
24,0.8156663439819296,,
6,0.9373991610196838,9.0,0.7654081961923201
9,0.9002097450790577,12.0,0.797918683446273
24,0.8159890287189416,,
18,0.8008228460793805,21.0,0.7664569215876089
9,0.8400290416263311,12.0,0.7646014843497903
9,0.9019038399483704,12.0,0.7930784123910939
9,0.8944820909970959,12.0,0.7885608260729268
6,0.9226363343013876,9.0,0.7753307518554372
15,0.8276056792513714,18.0,0.7916263310745402
9,0.851000322684737,12.0,0.7628267182962246
6,0.9119070667957405,9.0,0.7953372055501775
24,0.8226847370119393,,
12,0.8268796385930945,15.0,0.7366892545982575
24,0.8858502742820265,,
18,0.8163117134559535,21.0,0.7848499515972894
9,0.8416424653113908,12.0,0.7567763794772507
15,0.8046143917392707,18.0,0.7682316876411746
9,0.8698773797999355,12.0,0.7061955469506292
15,0.808244595030655,18.0,0.744433688286544
18,0.8208292997741207,21.0,0.7838818973862536
12,0.8107454017424975,15.0,0.7376573088092934
12,0.8434172313649564,15.0,0.7729912875121007
9,0.835350112939658,12.0,0.7716198773798
12,0.8171184252984833,15.0,0.7562116811874798
24,0.8166343981929655,,
24,0.8364795095191997,,
9,0.856243949661181,12.0,0.7251532752500807
18,0.813891577928364,21.0,0.7896095514682155
9,0.8837528234914489,12.0,0.7810584059373992
18,0.8005808325266215,21.0,0.7672636334301387
6,0.9115037108744757,9.0,0.7769441755404969
24,0.803081639238464,,
9,0.8524524040012907,12.0,0.7468538238141336
9,0.861810261374637,12.0,0.7842852533075185
24,0.9118263956114876,,
6,0.9072281381090674,9.0,0.7366085834140045
6,0.9292513714101323,9.0,0.7916263310745402
12,0.808244595030655,15.0,0.7316876411745724
12,0.830025814778961,15.0,0.7780735721200387
15,0.8208292997741207,18.0,0.7988060664730559
12,0.8205872862213617,15.0,0.7518554372378187
21,0.8101000322684737,24.0,0.7959825750242013
18,0.8127621813488222,21.0,0.7798483381736044
18,0.814133591481123,21.0,0.7775088738302678
12,0.8489028718941594,15.0,0.7626653759277187
12,0.861729590190384,15.0,0.7931590835753469
6,0.8857696030977735,9.0,0.7351565020974508
18,0.8079219102936431,21.0,0.7670216198773798
18,0.8109874152952565,21.0,0.7733946434333656
24,0.8140529202968699,,
24,0.8241368183284931,,
6,0.8660858341400451,9.0,0.6876411745724427
12,0.8486608583414005,15.0,0.7917070022587932
15,0.8461600516295579,18.0,0.7973539851565021
9,0.8009841884478864,12.0,0.7277347531461762
24,0.835108099386899,,
21,0.8118747983220393,24.0,0.7956598902871894
18,0.8039690222652468,21.0,0.7752500806711843
9,0.9019038399483704,12.0,0.7938044530493708
24,0.856405292029687,,
12,0.8485801871571474,15.0,0.7567763794772507
