Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
12,0.8009760939697246,15.0,0.7416659773347671
15,0.8065183224418894,18.0,0.775167507651584
3,0.965836711059641,6.0,0.7610224170733725
9,0.8666556373562743,12.0,0.7809578956075771
3,0.9534287368682273,6.0,0.6789643477541567
9,0.8070146414095458,12.0,0.6802878650012408
6,0.9060302754570271,9.0,0.7558110679129787
9,0.8212424518157002,12.0,0.724625692778559
9,0.8335677061791712,12.0,0.7711969559103317
9,0.813797667300852,12.0,0.6937711969559104
9,0.8467201588220696,12.0,0.7644139300190256
6,0.8262056414922657,9.0,0.7177599470593101
6,0.8971792538671519,9.0,0.7573000248159484
9,0.8125568698817106,12.0,0.688394408139631
9,0.8238894863098685,12.0,0.7476218049466458
6,0.8885763917611051,9.0,0.726693688477128
9,0.8144594259243941,12.0,0.7295888824551245
18,0.8051948051948052,21.0,0.7806270162958061
9,0.8305070725452891,12.0,0.7601952187939449
12,0.8075109603772024,15.0,0.7744230292000993
12,0.8386963355116221,15.0,0.792290512035735
15,0.8151211845479361,18.0,0.7841012490694019
12,0.8422532881131607,15.0,0.798080899991728
9,0.8334849863512284,12.0,0.7711142360823889
9,0.842501447596989,12.0,0.787823641326826
3,0.9442468359665812,6.0,0.727024567788899
6,0.8389444949954504,9.0,0.6808669037968401
9,0.8487881545206386,12.0,0.7794689387046075
12,0.8082554388286872,15.0,0.7568864256762345
9,0.8080899991728017,12.0,0.7168500289519398
6,0.8980064521465795,9.0,0.7996525767226405
12,0.8301761932335181,15.0,0.7698734386632475
15,0.8010588137976673,18.0,0.7722723136735875
9,0.8646703614856481,12.0,0.7954338654975598
9,0.8348085035983125,12.0,0.721565059144677
9,0.861609727851766,12.0,0.7994871370667549
12,0.8072628008933741,15.0,0.7740094300603855
6,0.8934568616097278,9.0,0.7930349904872198
6,0.8046984862271487,9.0,0.6585325502522955
12,0.80833815865663,15.0,0.7625940938042849
9,0.8217387707833568,12.0,0.7328149557448921
9,0.8069319215816031,12.0,0.6931094383323683
21,0.8085035983125155,24.0,0.7969228224005294
6,0.8536686243692613,9.0,0.7260319298535859
6,0.8732732235916949,9.0,0.7251220117462156
6,0.8781536934403177,9.0,0.7100670030606336
15,0.8070146414095458,18.0,0.7790553395648937
9,0.8224005294068988,12.0,0.7306642402183804
9,0.8489535941765242,12.0,0.7707833567706179
3,0.9569856894697659,6.0,0.7903879559930516
12,0.8170237405906196,15.0,0.7673091239970221
18,0.8046157663992058,21.0,0.7805442964678634
3,0.9539250558358838,6.0,0.7282653652080404
15,0.8070146414095458,18.0,0.7777318223178096
12,0.8082554388286872,15.0,0.7452229299363057
9,0.855157581272231,12.0,0.7880718008106543
6,0.8865911158904789,9.0,0.7652411282984531
6,0.8898171891802465,9.0,0.7803788568119778
6,0.8867565555463645,9.0,0.7458019687319051
18,0.824054925965754,21.0,0.7999007362064687
6,0.8682273140871867,9.0,0.7241293738109025
15,0.8129704690214244,18.0,0.7764910248986682
9,0.8410952105219621,12.0,0.7607742575895442
6,0.8908098271155596,9.0,0.7565555463644635
6,0.8295971544379188,9.0,0.6811977831086111
6,0.9047894780378857,9.0,0.7944412275622467
9,0.8030440896682934,12.0,0.6923649598808834
9,0.8596244519811399,12.0,0.7946066672181322
6,0.8716188270328398,9.0,0.7415005376788816
18,0.8053602448506907,21.0,0.7836876499296882
3,0.9641823145007858,6.0,0.7906361154768798
9,0.8200016543965588,12.0,0.7170154686078253
6,0.8485399950368103,9.0,0.7286789643477541
6,0.8473819174456118,9.0,0.7305815203904376
6,0.8573082967987427,9.0,0.7241293738109025
12,0.8332368268674001,15.0,0.7864174042517992
3,0.9403590040532716,6.0,0.6534866407477873
12,0.8267019604599223,15.0,0.7826122921664322
9,0.8468028786500124,12.0,0.7944412275622467
9,0.8369592191248242,12.0,0.7653238481263959
15,0.8190917362891885,18.0,0.7913805939283647
6,0.8841922408801389,9.0,0.7776491024898669
6,0.8591281330134833,9.0,0.7703697576309041
9,0.85002895193978,12.0,0.7963437836049301
3,0.9666639093390685,6.0,0.7209033005211349
12,0.8068492017536604,15.0,0.7667300852014228
12,0.8300107535776325,15.0,0.7913805939283647
9,0.8664901977003888,12.0,0.7963437836049301
9,0.827446438911407,12.0,0.7419968566465381
15,0.8034576888080073,18.0,0.7719414343618165
9,0.8491190338324096,12.0,0.7711969559103317
9,0.8556539002398875,12.0,0.7721895938456448
6,0.8966002150715526,9.0,0.7468773264951609
9,0.8532550252295475,12.0,0.7946066672181322
6,0.8440731243279014,9.0,0.7367855074861445
12,0.803209529324179,15.0,0.7630076929439987
12,0.8268674001158077,15.0,0.7893125982297957
6,0.8989163702539499,9.0,0.7969228224005294
24,0.8067664819257176,,
9,0.867813714947473,12.0,0.790553395648937
