Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
6,0.859259886527225,9.0,0.723854687103057
9,0.8226776187653485,12.0,0.7550173596409518
6,0.8984672707257176,9.0,0.7425692268608688
18,0.8022694555000424,21.0,0.7830468286899822
9,0.8578203065458548,12.0,0.7750021170293844
9,0.8179354729443644,12.0,0.7683969853501567
15,0.818951647048861,18.0,0.795240917943941
3,0.9712930815479719,6.0,0.6751630112625964
21,0.8054026589889067,24.0,0.7909221779998307
9,0.8264035904818359,12.0,0.723261918875434
9,0.8019307307985435,12.0,0.7153018883902108
9,0.8547717842323651,12.0,0.791684308578203
9,0.8511304936912525,12.0,0.781945973410111
12,0.8244559234482175,15.0,0.7687357100516555
6,0.8969430095689728,9.0,0.792869845033449
9,0.8288593445677026,12.0,0.7556948090439495
15,0.8163265306122449,18.0,0.7953255991193158
9,0.8295367939707003,12.0,0.7498518079430943
6,0.9142179693454145,9.0,0.7985434837835549
9,0.8703531205013125,12.0,0.7876196121602168
6,0.8487594207807604,9.0,0.7340164281480227
9,0.8445253620120248,12.0,0.758828012532814
6,0.852739436023372,9.0,0.7107291049199763
9,0.8584977559488526,12.0,0.7823693792869845
6,0.8958421542891015,9.0,0.753493098484207
15,0.8129392835972563,18.0,0.781945973410111
3,0.9473283089169278,6.0,0.7435854009653654
15,0.817173342365992,18.0,0.7920230332797019
15,0.8066728766195275,18.0,0.7773731899398764
24,0.8267423151833347,,
12,0.8117537471420103,15.0,0.7613684477940554
6,0.8806842238970277,9.0,0.7643322889321704
6,0.8369040562283004,9.0,0.7224151071216869
15,0.8031162672537895,18.0,0.7648403759844187
3,0.9480904394953001,6.0,0.7988822084850538
6,0.9014311118638326,9.0,0.7536624608349564
12,0.817766110593615,15.0,0.7545939537640782
12,0.809213311880769,15.0,0.7615378101448048
12,0.8020154119739182,15.0,0.7473960538572275
15,0.8255567787280887,18.0,0.7911762215259548
9,0.8359725632991786,12.0,0.7735625370480143
9,0.8376661868066729,12.0,0.776018291133881
6,0.8935557625539843,9.0,0.7845710898467271
9,0.8175120670674909,12.0,0.7497671267677195
9,0.8232703869929715,12.0,0.6902362604792954
9,0.86222372766534,12.0,0.7927851638580744
12,0.8132780082987552,15.0,0.7737318993987636
15,0.8308916927766957,18.0,0.7982894402574308
6,0.8553645524599881,9.0,0.7553560843424507
15,0.8167499364891184,18.0,0.7840630027944788
12,0.8097213989330172,15.0,0.7555254466932001
15,0.8193750529257346,18.0,0.7863493945295961
3,0.943687018375815,6.0,0.7926158015073249
12,0.8334321280379372,15.0,0.7917689897535778
9,0.8591752053518503,12.0,0.7683123041747819
6,0.8422389702769074,9.0,0.7423998645101194
9,0.8576509441951055,12.0,0.7608603607418071
9,0.8441019561351512,12.0,0.7289355576255399
18,0.8118384283173851,21.0,0.791684308578203
6,0.8733169616394275,9.0,0.7218223388940639
12,0.8126852400711322,15.0,0.7580658819544416
6,0.9083749682445592,9.0,0.7990515708358032
6,0.8977051401473453,9.0,0.7352019646032687
6,0.8799220933186552,9.0,0.7198746718604454
24,0.8111609789143873,,
6,0.9000762130578372,9.0,0.746972647980354
9,0.831992548056567,12.0,0.7675501735964095
6,0.8332627656871877,9.0,0.6562791091540351
6,0.861038191210094,9.0,0.766788043018037
9,0.831992548056567,12.0,0.7678042171225337
15,0.8211533576086036,18.0,0.7954102802946905
6,0.8534168854263697,9.0,0.7243627741553053
24,0.8148022694555,,
12,0.8269963587094589,15.0,0.7868574815818443
9,0.8078584130747735,12.0,0.7085273943602337
15,0.8227622999407231,18.0,0.7908374968244559
15,0.8118384283173851,18.0,0.7781353205182487
9,0.86222372766534,12.0,0.7991362520111779
12,0.828435938690829,15.0,0.7855872639512237
6,0.9312388855957321,9.0,0.7986281649589296
21,0.8009992378694216,24.0,0.7864340757049708
6,0.8691675840460665,9.0,0.7271572529426709
6,0.8811076297739012,9.0,0.6819375052925735
9,0.8469811160978914,12.0,0.7842323651452282
9,0.8038783978321619,12.0,0.7067490896773647
12,0.8063341519180286,15.0,0.7607756795664323
6,0.9060038953340672,9.0,0.7311372681852825
9,0.829621475146075,12.0,0.7307985434837836
12,0.8245406046235921,15.0,0.785502582775849
24,0.8023541366754171,,
15,0.8145482259293759,18.0,0.780760436954865
6,0.8231857058175968,9.0,0.6152087390972987
9,0.8306376492505716,12.0,0.7384198492675078
9,0.8690829028706919,12.0,0.7879583368617157
6,0.9180286222372767,9.0,0.7738165805741384
9,0.8214920823101025,12.0,0.7418070962824964
9,0.8259801846049624,12.0,0.7464645609281056
9,0.8656109746803285,12.0,0.7905834532983318
9,0.8348717080193073,12.0,0.7751714793801338
12,0.8174273858921162,15.0,0.7699212465069015
